w_player1,w_player2,l_player1,l_player2
Anni Schumacher,Jana Kohler,Chantal Laboureur,Christine Aulenbrock
Geeske Banck,Kira Walkenhorst,Julia Grossner,Victoria Bieneck
Geeske Banck,Kira Walkenhorst,Anni Schumacher,Jana Kohler
Brooke Sweat,Jennifer Fopma,Emily Day,Heather McGuire
Brooke Sweat,Jennifer Fopma,Angie Akers,Brittany Hochevar
Marlen Brunner,Tanja HÌ_berli,Agnieszka Woloszyn,Karolina Suwinska
Brooke Sweat,Jennifer Fopma,Adele Bardouillet,Fanny Menissier
Grazziella Lo Re,Nellina Mazzulla,Nazaret  Florian,Olga Matveeva
Laura Bloem,Merel Mooren,Marlen Brunner,Tanja HÌ_berli
Joana Heidrich,Romana Kayser,Elodie Li Yuk Lo,Natacha Rigobert
Andreja Vodeb,Simona Fabjan,Berta Antequera,Ester Ribera
Agatha Bednarczuk,Barbara Seixas,Deborah Giaoui,Melody Benhamou
Brooke Sweat,Jennifer Fopma,Jolien Sinnema,Marloes Wesselink
Geeske Banck,Kira Walkenhorst,Karolina Rehackova,Michaela Vorlova
Elisabeth Klopf,Valerie Teufl,Ane Tveit Hjortland,Janne Kongshavn
Barbora Hermannova,Martina Bonnerova,Grazziella Lo Re,Nellina Mazzulla
Juliana Felisberta,Larissa Franca,Brooke Sweat,Jennifer Fopma
Brooke Niles,Lauren Fendrick,Britta Buthe,Karla Borger
Juliana Felisberta,Larissa Franca,Britta Buthe,Karla Borger
Brooke Niles,Lauren Fendrick,Brooke Sweat,Jennifer Fopma
Juliana Felisberta,Larissa Franca,Brooke Niles,Lauren Fendrick
Britta Buthe,Karla Borger,Brooke Sweat,Jennifer Fopma
Chen Xue,Xi Zhang,Agatha Bednarczuk,Barbara Seixas
Taiana Lima,Vivian Cunha,Angela Lavalle,Liliane Maestrini
Chen Xue,Xi Zhang,Angela Lavalle,Liliane Maestrini
Taiana Lima,Vivian Cunha,Agatha Bednarczuk,Barbara Seixas
Chen Xue,Xi Zhang,Taiana Lima,Vivian Cunha
Agatha Bednarczuk,Barbara Seixas,Angela Lavalle,Liliane Maestrini
Greta Cicolari,Marta Menegatti,Elisabeth Klopf,Valerie Teufl
Hana Skalnikova,Lenka Hajeckova,Barbara Hansel,Sara Montagnolli
Greta Cicolari,Marta Menegatti,Barbara Hansel,Sara Montagnolli
Hana Skalnikova,Lenka Hajeckova,Elisabeth Klopf,Valerie Teufl
Greta Cicolari,Marta Menegatti,Hana Skalnikova,Lenka Hajeckova
Barbara Hansel,Sara Montagnolli,Elisabeth Klopf,Valerie Teufl
