tourney_date,surface,winner1_id,winner2_id,loser1_id,loser2_id
2017-07-17,Clay,105431,105583,106035,110596.0
2017-07-17,Clay,122644,104235,103327,105077.0
2017-07-17,Clay,102382,104332,105643,105456.0
2017-07-17,Clay,105428,105269,103540,103811.0
2017-07-17,Clay,111200,144707,105070,105781.0
2017-07-17,Clay,103543,102800,104398,104667.0
2017-07-17,Grass,103529,104330,103607,105261.0
2017-07-17,Grass,104629,104960,103920,103921.0
2017-07-17,Grass,105032,102233,103843,105173.0
2017-07-17,Grass,105323,104677,105233,105714.0
2017-07-17,Grass,105591,105441,105850,105448.0
2017-07-17,Grass,104646,104690,104505,105011.0
2017-07-17,Grass,106109,106225,105572,126204.0
2017-07-17,Grass,104136,103822,126203,106283.0
2017-07-17,Clay,103018,102110,105012,106000.0
2017-07-17,Clay,103863,104797,105711,105243.0
2017-07-17,Clay,104297,103893,106065,126094.0
2017-07-17,Clay,105379,104693,103859,144838.0
2017-07-17,Clay,105775,125834,104926,105561.0
2017-07-17,Clay,104471,105015,105433,106210.0
2017-07-17,Clay,105064,102987,104460,111575.0
2017-07-17,Clay,122644,104235,105431,105583.0
2017-07-17,Clay,102382,104332,105428,105269.0
2017-07-17,Clay,111200,144707,103543,102800.0
2017-07-17,Grass,103529,104330,104629,104960.0
2017-07-17,Grass,105032,102233,105323,104677.0
2017-07-17,Grass,105591,105441,104646,104690.0
2017-07-17,Grass,106109,106225,104136,103822.0
2017-07-17,Clay,103018,102110,103863,104797.0
2017-07-17,Clay,105160,105120,117360,104468.0
2017-07-17,Clay,105379,104693,104297,103893.0
2017-07-17,Clay,105775,125834,104471,105015.0
2017-07-17,Clay,122644,104235,105064,102987.0
2017-07-17,Clay,102382,104332,111200,144707.0
2017-07-17,Grass,103529,104330,105032,102233.0
2017-07-17,Grass,105591,105441,106109,106225.0
2017-07-17,Clay,105160,105120,103018,102110.0
2017-07-17,Clay,105775,125834,105379,104693.0
2017-07-17,Clay,102382,104332,122644,104235.0
2017-07-17,Grass,103529,104330,105591,105441.0
2017-07-17,Clay,105160,105120,105775,125834.0
2017-07-24,Hard,103184,103185,105591,105441.0
2017-07-24,Hard,111202,105233,111159,106058.0
2017-07-24,Hard,103529,103921,103977,105385.0
2017-07-24,Hard,105357,103920,104571,104291.0
2017-07-24,Hard,104136,103822,104180,105714.0
2017-07-24,Hard,104646,104690,104600,102963.0
2017-07-24,Hard,105323,104677,105891,202130.0
2017-07-24,Hard,105120,108990,105992,105030.0
2017-07-24,Clay,105613,105311,105428,105269.0
2017-07-24,Clay,122644,104898,103863,104797.0
2017-07-24,Clay,105559,105015,134472,105928.0
2017-07-24,Clay,105064,102987,102233,105243.0
2017-07-24,Clay,105070,105781,105487,106121.0
2017-07-24,Clay,105433,104235,104460,103843.0
2017-07-24,Clay,105583,105711,103859,144838.0
2017-07-24,Clay,103594,104667,105160,102968.0
2017-07-24,Clay,104471,106207,105332,104273.0
2017-07-24,Clay,103018,102110,105643,104919.0
2017-07-24,Clay,103841,104547,104398,105526.0
2017-07-24,Clay,104297,105077,105906,105047.0
2017-07-24,Clay,102382,103543,127157,103163.0
2017-07-24,Clay,103690,102800,104122,106043.0
2017-07-24,Clay,105254,103811,105379,104468.0
2017-07-24,Hard,103184,103185,111202,105233.0
2017-07-24,Hard,105357,103920,103529,103921.0
2017-07-24,Hard,104646,104690,104136,103822.0
2017-07-24,Hard,105323,104677,105120,108990.0
2017-07-24,Clay,122644,104898,105613,105311.0
2017-07-24,Clay,105559,105015,105064,102987.0
2017-07-24,Clay,105433,104235,105070,105781.0
2017-07-24,Clay,103594,104667,105583,105711.0
2017-07-24,Clay,104471,106207,103018,102110.0
2017-07-24,Clay,102382,103543,103690,102800.0
2017-07-24,Clay,104655,104043,105254,103811.0
2017-07-24,Hard,103184,103185,105357,103920.0
2017-07-24,Hard,105323,104677,104646,104690.0
2017-07-24,Clay,105559,105015,122644,104898.0
2017-07-24,Clay,103594,104667,105433,104235.0
2017-07-24,Clay,104471,106207,103841,104547.0
2017-07-24,Clay,104655,104043,102382,103543.0
2017-07-24,Hard,103184,103185,105323,104677.0
2017-07-24,Clay,103594,104667,105559,105015.0
2017-07-24,Clay,104471,106207,104655,104043.0
2017-07-31,Clay,103690,102800,105433,106210.0
2017-07-31,Clay,103018,104667,105589,105864.0
2017-07-31,Clay,104655,105160,104898,104693.0
2017-07-31,Clay,104398,105526,104122,105723.0
2017-07-31,Clay,102382,104235,103163,124116.0
2017-07-31,Clay,105428,105269,105064,102987.0
2017-07-31,Clay,105070,105781,104297,103893.0
2017-07-31,Clay,103841,104547,105932,105012.0
2017-07-31,Hard,105456,105261,105120,108990.0
2017-07-31,Hard,102968,103811,105714,105591.0
2017-07-31,Hard,104043,103543,106121,106000.0
2017-07-31,Hard,105051,105688,103920,103921.0
2017-07-31,Hard,104646,104690,104136,103822.0
2017-07-31,Hard,104882,105233,120798,104960.0
2017-07-31,Hard,108701,104600,105062,111451.0
2017-07-31,Hard,105573,105188,103594,105254.0
2017-07-31,Hard,104471,106207,100644,104999.0
2017-07-31,Hard,104679,103946,105449,104273.0
2017-07-31,Hard,103859,117360,105992,105030.0
2017-07-31,Hard,103523,105385,102110,103529.0
2017-07-31,Hard,103184,103185,103977,106058.0
2017-07-31,Hard,103828,104486,105777,106298.0
2017-07-31,Hard,103997,104249,102963,106233.0
2017-07-31,Clay,103018,104667,103690,102800.0
2017-07-31,Clay,104655,105160,104398,105526.0
2017-07-31,Clay,102382,104235,105428,105269.0
2017-07-31,Clay,105070,105781,103841,104547.0
2017-07-31,Hard,105456,105261,102968,103811.0
2017-07-31,Hard,104043,103543,105051,105688.0
2017-07-31,Hard,104646,104690,105323,104677.0
2017-07-31,Hard,108701,104600,104882,105233.0
2017-07-31,Hard,105573,105188,104471,106207.0
2017-07-31,Hard,104679,103946,103859,117360.0
2017-07-31,Hard,103184,103185,103523,105385.0
2017-07-31,Hard,103997,104249,103828,104486.0
2017-07-31,Clay,104655,105160,103018,104667.0
2017-07-31,Clay,105070,105781,102382,104235.0
2017-07-31,Hard,105456,105261,104043,103543.0
2017-07-31,Hard,108701,104600,104646,104690.0
2017-07-31,Hard,105573,105188,104679,103946.0
2017-07-31,Hard,103997,104249,103184,103185.0
2017-07-31,Clay,104655,105160,105070,105781.0
2017-07-31,Hard,108701,104600,105456,105261.0
2017-07-31,Hard,105573,105188,103997,104249.0
2017-08-07,Hard,103828,104486,104136,105385.0
2017-08-07,Hard,108701,105807,105254,103529.0
2017-08-07,Hard,105223,105777,105992,105030.0
2017-08-07,Hard,106298,104542,103852,104043.0
2017-08-07,Hard,111575,106233,103977,106058.0
2017-08-07,Hard,104792,105332,103893,105077.0
2017-08-07,Hard,105138,103970,102110,105577.0
2017-08-07,Hard,104802,104273,104433,108990.0
2017-08-07,Hard,105573,105188,103828,104486.0
2017-08-07,Hard,103594,106207,108701,105807.0
2017-08-07,Hard,103184,103185,105223,105777.0
2017-08-07,Hard,105732,103917,106298,104542.0
2017-08-07,Hard,103523,104471,111575,106233.0
2017-08-07,Hard,104792,105332,104679,103946.0
2017-08-07,Hard,104802,104273,103997,104249.0
