tourney_date,surface,winner1_name,winner1_id,winner2_name,winner2_id,loser1_name,loser1_id,loser2_name,loser2_id
2018-10-01,Hard,Fabrice Martin,104802,Gilles Simon,104468,Henri Kontinen,105573,John Peers,105188
2018-10-01,Hard,Robin Haase,104898,Matwe Middelkoop,104235,Daniil Medvedev,106421,Aisam Ul Haq Qureshi,103529
2018-10-01,Hard,Ben Mclachlan,110758,Jan Lennard Struff,105526,Julio Peralta,103841,Horacio Zeballos,104547
2018-10-01,Hard,Hyeon Chung,111202,Matthew Ebden,105051,Richard Gasquet,104755,Adrian Mannarino,105173
2018-10-01,Hard,Dominic Inglot,104693,Franco Skugor,105015,Damir Dzumhur,106000,Santiago Gonzalez,104136
2018-10-01,Hard,Raven Klaasen,104071,Michael Venus,105030,Steve Johnson,105449,Diego Sebastian Schwartzman,106043
2018-10-01,Hard,Joe Salisbury,110749,Yasutaka Uchiyama,106034,Yoshihito Nishioka,106415,Kaito Uesugi,144682
2018-10-01,Hard,Jamie Murray,104679,Bruno Soares,103946,Divij Sharan,104690,Artem Sitak,104677
2018-10-01,Hard,Fabrice Martin,104802,Gilles Simon,104468,Max Mirnyi,103018,Philipp Oswald,104667
2018-10-01,Hard,James Cerretani,103859,Nick Kyrgios,106401,Yusuke Takahashi,126208,Yosuke Watanuki,133297
2018-10-01,Hard,Oliver Marach,103594,Mate Pavic,106207,Marcus Daniell,105428,Wesley Koolhof,105323
2018-10-01,Hard,Ivan Dodig,104471,Nikola Mektic,105254,Juan Martin Del Potro,105223,Leonardo Mayer,104919
2018-10-01,Hard,Juan Sebastian Cabal,108701,Robert Farah,104857,Denys Molchanov,104920,Igor Zelenay,103938
2018-10-01,Hard,Lukasz Kubot,103997,Marcelo Melo,104249,Rohan Bopanna,103523,Edouard Roger Vasselin,104273
