game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
4963, Juliana Felisberta, Larissa Franca, April Ross, Jennifer Kessy, 4045.766, 3628.698, 0.9081
4964, Laura Ludwig, Sara Niedrig, Maria Antonelli, Talita Antunes, 3694.862, 3699.457, 0.3284
4965, Barbara Hansel, Sara Montagnolli, Doris Schwaiger, Stefanie Schwaiger, 3604.287, 3562.392, 0.4143
4966, Taiana Lima, Vivian Cunha, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, 3517.571, 3432.015, 0.4982
4967, Juliana Felisberta, Larissa Franca, Laura Ludwig, Sara Niedrig, 4057.625, 3683.003, 0.8829
4968, Taiana Lima, Vivian Cunha, Barbara Hansel, Sara Montagnolli, 3572.194, 3549.664, 0.3777
4969, Laura Ludwig, Sara Niedrig, Barbara Hansel, Sara Montagnolli, 3711.362, 3521.306, 0.6830
4970, Juliana Felisberta, Larissa Franca, Taiana Lima, Vivian Cunha, 4063.815, 3566.004, 0.9424
4971, Taiana Lima, Vivian Cunha, Liliane Maestrini, Luana Madeira, 3573.317, 3106.427, 0.9311
4972, Angela Lavalle, Vanilda Leao, Taiana Lima, Vivian Cunha, 3346.459, 3488.347, 0.1425
4973, Jana Kohler, Julia Sude, Angelina Grun, Rieke Brink-Abeler, 3177.836, 3086.664, 0.5090
4974, Isabelle Forrer, Joana Heidrich, Janne Kongshavn, Ragnhild Aas, 3033.394, 2691.821, 0.8588
4975, Ying Huang, Yuan Yue, Muriel Graessli, Tanja Goricanec, 3076.042, 2907.938, 0.6478
4976, Elisa Cella, Valeria Rosso, Anja Gunther, Geeske Banck, 2989.474, 2904.036, 0.4980
4977, Evgeniya Ukolova, Maria Prokopeva, Elodie Li Yuk Lo, Natacha Rigobert, 3253.960, 2838.492, 0.9073
4978, Jana Kohler, Julia Sude, Ingrid Torlen, Vilde Solvoll, 3199.449, 2948.341, 0.7679
4979, Erika Fabjan, Simona Fabjan, Jantine van der Vlist, Roos Van der Hoeven, 3077.114, 2926.880, 0.6174
4980, Becchara Palmer, Louise Bawden, Daria Paszek, Renata Bekier, 3264.386, 2939.658, 0.8447
4981, Angela Lavalle, Vanilda Leao, Agnieszka Woloszyn, Martyna Wardak, 3353.483, 2879.117, 0.9340
4982, Natalie Cook, Tamsin Hinchley, Sayaka Mizoe, Shinako Tanaka, 3255.512, 2897.933, 0.8710
4983, Danielle Remmers, Sophie van Gestel, Cristina Hopf, Nadia Campisi, 3095.739, 2801.783, 0.8159
4984, Liesbet Van Breedam, Liesbeth Mouha, Cornelia Rimser, Kerstin Pichler, 3233.163, 2880.285, 0.8675
4985, Elsa Baquerizo, Liliana Fernandez, Svitlana Baburina, Viktoriia Smetaniuk, 3285.947, 2884.984, 0.8992
4986, Inese Jursone, Inguna Minusa, Angelica Ljungquist, Asa Gustavsson, 3127.842, 2973.558, 0.6244
4987, Anna Hu, Jieqiong Jin, Denise Johns, Lucy Boulton, 3052.956, 3028.289, 0.3817
4988, April Ross, Jennifer Kessy, Isabelle Forrer, Joana Heidrich, 3632.180, 3029.912, 0.9685
4989, Elisa Cella, Valeria Rosso, Ying Huang, Yuan Yue, 3044.076, 3021.440, 0.3779
4990, Jana Kohler, Julia Sude, Evgeniya Ukolova, Maria Prokopeva, 3249.717, 3203.691, 0.4222
4991, Becchara Palmer, Louise Bawden, Erika Fabjan, Simona Fabjan, 3287.749, 3053.751, 0.7461
4992, Angela Lavalle, Vanilda Leao, Natalie Cook, Tamsin Hinchley, 3385.442, 3223.553, 0.6374
4993, Liesbet Van Breedam, Liesbeth Mouha, Danielle Remmers, Sophie van Gestel, 3261.122, 3067.780, 0.6881
4994, Elsa Baquerizo, Liliana Fernandez, Inese Jursone, Inguna Minusa, 3311.937, 3101.852, 0.7130
4995, Angie Akers, Tyra Turner, Anna Hu, Jieqiong Jin, 3307.733, 3033.541, 0.7949
4996, Juliana Felisberta, Larissa Franca, Beata Galek, Kinga Kolosinska, 4063.902, 2817.307, 0.9992
