game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
8079, Emily Day, Summer Ross, Maria Prokopeva, Svetlana Popova, 3127.933, 3053.649, 0.5450
8080, Jolien Sinnema, Michelle Stiekema, Lucy Boulton, Zara Dampney, 3033.736, 2968.431, 0.5587
8081, Carolina Salgado, Maria Clara Salgado, Taiana Lima, Talita Antunes, 3353.864, 3387.732, 0.4396
8082, Carolina Salgado, Maria Clara Salgado, Jolien Sinnema, Michelle Stiekema, 3354.567, 3028.145, 0.8633
8083, Taiana Lima, Talita Antunes, Lucy Boulton, Zara Dampney, 3388.522, 2967.123, 0.9179
8084, Carolina Salgado, Maria Clara Salgado, Lucy Boulton, Zara Dampney, 3355.075, 2965.581, 0.9029
8085, Taiana Lima, Talita Antunes, Jolien Sinnema, Michelle Stiekema, 3389.572, 3023.637, 0.8884
8086, Henriette Iatika, Miller Pata, Agata Oleksy, Renata Bekier, 2864.692, 2688.682, 0.6321
8087, Barbara Seixas, Liliane Maestrini, Daniela Gioria, Laura Giombini, 3375.663, 2926.128, 0.9289
8088, Agata Oleksy, Renata Bekier, Daniela Gioria, Laura Giombini, 2831.501, 2911.173, 0.2031
8089, Barbara Seixas, Liliane Maestrini, Henriette Iatika, Miller Pata, 3376.723, 2861.541, 0.9499
8090, Barbara Seixas, Liliane Maestrini, Agata Oleksy, Renata Bekier, 3377.576, 2823.574, 0.9585
8091, Daniela Gioria, Laura Giombini, Henriette Iatika, Miller Pata, 2919.864, 2837.160, 0.5709
8092, Kinga Kolosinska, Monika Brzostek, Laura Bloem, Rebekka Kadijk, 3018.756, 2980.602, 0.5035
8093, Greta Cicolari, Marta Menegatti, Julia Grossner, Victoria Bieneck, 3398.144, 3076.906, 0.8582
8094, Barbara Seixas, Liliane Maestrini, Joana Heidrich, Nadine Zumkehr, 3383.382, 3210.748, 0.7174
8095, Marleen Van Iersel, Sanne Keizer, Ilka Semmler, Katrin Holtwick, 3357.859, 3321.205, 0.5437
8096, Chen Xue, Xi Zhang, Agatha Bednarczuk, Maria Antonelli, 3570.152, 3359.450, 0.7665
8097, Henriette Iatika, Miller Pata, Kristyna Kolocova, Marketa Slukova, 2893.285, 3302.118, 0.0612
8098, Kira Walkenhorst, Laura Ludwig, Taiana Lima, Talita Antunes, 3296.769, 3383.556, 0.3488
8099, Ekaterina Birlova, Evgeniya Ukolova, Madelein Meppelink, Sophie van Gestel, 3214.933, 3319.530, 0.3346
8100, April Ross, Whitney Pavlik, Anouk VergÌ©-DÌ©prÌ©, Isabelle Forrer, 3305.086, 3065.337, 0.7824
8101, Elsa Baquerizo, Liliana Fernandez, Louise Bawden, Taliqua Clancy, 3276.763, 3081.994, 0.7413
8102, Barbara Hansel, Katharina Schutzenhofer, Heather Bansley, Sarah Pavan, 3182.628, 3117.221, 0.5296
8103, Doris Schwaiger, Stefanie Schwaiger, Emily Day, Summer Ross, 3300.965, 3110.601, 0.7287
8104, Britta Buthe, Karla Borger, Daniela Gioria, Laura Giombini, 3251.841, 2917.036, 0.8699
8105, Dominika Nestarcova, Natalia Dubovcova, Carolina Salgado, Maria Clara Salgado, 3146.360, 3351.026, 0.2083
8106, Brittany Hochevar, Lauren Fendrick, Brooke Sweat, Jennifer Fopma, 3147.385, 3100.466, 0.5274
8107, Emilia Nystrom, Erika Nystrom, Irina Tsimbalova, Tatyana Mashkova, 3144.224, 2893.246, 0.8015
8108, Greta Cicolari, Marta Menegatti, Kinga Kolosinska, Monika Brzostek, 3399.155, 3015.329, 0.8988
8109, Barbara Seixas, Liliane Maestrini, Marleen Van Iersel, Sanne Keizer, 3392.833, 3354.911, 0.5367
8110, Chen Xue, Xi Zhang, Henriette Iatika, Miller Pata, 3570.271, 2892.088, 0.9801
8111, Kira Walkenhorst, Laura Ludwig, Ekaterina Birlova, Evgeniya Ukolova, 3305.751, 3211.227, 0.6156
8112, April Ross, Whitney Pavlik, Elsa Baquerizo, Liliana Fernandez, 3329.695, 3272.805, 0.5407
8113, Doris Schwaiger, Stefanie Schwaiger, Barbara Hansel, Katharina Schutzenhofer, 3302.693, 3166.904, 0.6640
8114, Britta Buthe, Karla Borger, Dominika Nestarcova, Natalia Dubovcova, 3256.796, 3136.399, 0.6473
8115, Brittany Hochevar, Lauren Fendrick, Emilia Nystrom, Erika Nystrom, 3154.207, 3140.783, 0.5045
8116, Barbara Seixas, Liliane Maestrini, Greta Cicolari, Marta Menegatti, 3402.995, 3394.188, 0.4909
8117, Chen Xue, Xi Zhang, Kira Walkenhorst, Laura Ludwig, 3571.324, 3301.585, 0.8209
8118, April Ross, Whitney Pavlik, Doris Schwaiger, Stefanie Schwaiger, 3352.946, 3300.360, 0.5388
8119, Britta Buthe, Karla Borger, Brittany Hochevar, Lauren Fendrick, 3261.858, 3149.386, 0.6435
8120, Chen Xue, Xi Zhang, Barbara Seixas, Liliane Maestrini, 3572.930, 3397.520, 0.7249
8121, Britta Buthe, Karla Borger, April Ross, Whitney Pavlik, 3270.282, 3323.378, 0.3718
8122, Barbara Seixas, Liliane Maestrini, April Ross, Whitney Pavlik, 3404.824, 3305.925, 0.6051
8123, Chen Xue, Xi Zhang, Britta Buthe, Karla Borger, 3573.810, 3268.158, 0.8510
8124, Caleigh Whitaker, Kacie MacTavish, Elisabeth Klopf, Valerie Teufl, 2896.123, 2818.120, 0.4770
8125, Heather Bansley, Sarah Pavan, Cosima Wieland, Taryn Sciarini, 3128.249, 2906.537, 0.6626
8126, Penny Karagkouni, Vasiliki Arvaniti, Adele Bardouillet, Fanny Menissier, 2956.519, 2821.613, 0.4774
8127, Cindy Treland, Janne Kongshavn, Ekaterina Syrtseva, Irina Chaika, 2731.043, 2832.710, 0.2138
8128, Muriel Graessli, Romana Kayser, Karin Lundqvist, Nina Grawender, 2963.204, 2921.785, 0.4710
8129, Barbara Seixas, Liliane Maestrini, Caleigh Whitaker, Kacie MacTavish, 3405.804, 2891.186, 0.9492
8130, Jamie Broder, Kristina May, Barbora Hermannova, Martina Bonnerova, 2960.371, 2918.155, 0.5005
8131, Anni Schumacher, Jana Kohler, Heather Bansley, Sarah Pavan, 3074.000, 3099.854, 0.3964
8132, Barbara Hansel, Katharina Schutzenhofer, Penny Karagkouni, Vasiliki Arvaniti, 3176.544, 2939.510, 0.7705
8133, Emily Day, Summer Ross, Cindy Treland, Janne Kongshavn, 3116.927, 2725.091, 0.8989
8134, Ana Gallay, Georgina Klug, Daniela Gioria, Laura Giombini, 2936.516, 2906.755, 0.3678
8135, Jolien Sinnema, Michelle Stiekema, Jessyka Ngauamo, Mariafe Artacho, 3030.336, 2748.546, 0.8069
8136, Brooke Sweat, Jennifer Fopma, Muriel Graessli, Romana Kayser, 3114.139, 2952.763, 0.6879
8137, Joana Heidrich, Nadine Zumkehr, Hana Skalnikova, Patricia Missottenova, 3212.781, 2854.123, 0.8778
8138, Kristyna Kolocova, Marketa Slukova, Brittany Hochevar, Lauren Fendrick, 3305.000, 3145.424, 0.7067
8139, Brittany Hochevar, Lauren Fendrick, Joana Heidrich, Nadine Zumkehr, 3153.282, 3202.514, 0.4043
8140, Kristyna Kolocova, Marketa Slukova, Hana Skalnikova, Patricia Missottenova, 3305.667, 2846.377, 0.9306
8141, Joana Heidrich, Nadine Zumkehr, Kristyna Kolocova, Marketa Slukova, 3213.520, 3299.433, 0.3558
8142, Brittany Hochevar, Lauren Fendrick, Hana Skalnikova, Patricia Missottenova, 3155.107, 2831.346, 0.8540
8143, Chen Xue, Xi Zhang, Tanja Goricanec, Tanja HÌ_berli, 3574.009, 2988.479, 0.9663
8144, Louise Bawden, Taliqua Clancy, Marleen Van Iersel, Sanne Keizer, 3112.205, 3349.649, 0.1721
8145, Chen Xue, Xi Zhang, Louise Bawden, Taliqua Clancy, 3574.395, 3109.822, 0.9345
8146, Marleen Van Iersel, Sanne Keizer, Tanja Goricanec, Tanja HÌ_berli, 3350.347, 2980.636, 0.8889
8147, Chen Xue, Xi Zhang, Marleen Van Iersel, Sanne Keizer, 3575.669, 3348.949, 0.7841
8148, Louise Bawden, Taliqua Clancy, Tanja Goricanec, Tanja HÌ_berli, 3120.200, 2960.270, 0.6778
8149, Taiana Lima, Talita Antunes, Ana Gallay, Georgina Klug, 3384.183, 2922.617, 0.9291
8150, Kira Walkenhorst, Laura Ludwig, Emilia Nystrom, Erika Nystrom, 3308.020, 3138.831, 0.7162
