game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
84, Ingrid Torlen, Nila Ann Hakedal, Renata Ribeiro, Talita Antunes, 1628.308, 1579.109, 0.4997
85, Jia Tian, Jie Wang, Ana Paula Henkel, Leila Barros, 1608.136, 1575.547, 0.4718
86, Renata Ribeiro, Talita Antunes, Ana Paula Henkel, Leila Barros, 1603.548, 1551.108, 0.5051
87, Jia Tian, Jie Wang, Ingrid Torlen, Nila Ann Hakedal, 1634.272, 1602.172, 0.4710
88, Agatha Bednarczuk, Shaylyn Bede, Carolina Salgado, Maria Clara Salgado, 1503.758, 1498.871, 0.4257
89, Agatha Bednarczuk, Shaylyn Bede, Ana Paula Henkel, Leila Barros, 1531.867, 1522.999, 0.4323
90, Caroline Fiset, Isabelle Rancourt, Anouk Boileau, Marie-Christine Mondor, 1522.956, 1452.353, 0.5355
91, Chelsea Grimson, Katherine Zakrzewski, Isabelle Czerveniak, Sara Pothaar, 1521.308, 1452.230, 0.5329
92, Ilka Semmler, Katrin Holtwick, Geeske Banck, Susanne Lahme, 1559.252, 1477.904, 0.5533
93, Miwa Asao, Takemi Nishibori, Miho Makabe, Sachie Oguri, 1524.691, 1475.309, 0.5000
94, Lim Poh Hong, Luk Teck Eng, Ayu Siam, Yokbeth Kapasiang, 1524.691, 1475.309, 0.5000
95, Bernadette Kiss, Regina Kiss, Luk Teng Kee, Manokharan Iswari, 1524.691, 1475.309, 0.5000
96, Becchara Palmer, Eileen Romanowski, Devota Rahawarin, Timy Yudhani Rahayu, 1524.691, 1475.309, 0.5000
97, Diane Pascua, Heidi Ilustre, Tanarattha Udomchavee, Varapatsorn Radarong, 1524.691, 1475.309, 0.5000
98, Bibiana Candelas, Mayra Garcia, Norma Escobedo Perez, Rosario Reyes, 1518.642, 1474.845, 0.4906
99, Beh Shun Thing, Luk Teck Hua, Ho Chin Ching, Tiffany Looi, 1524.691, 1475.309, 0.5000
100, Efthalia Koutroumanidou, Maria Tsiartsiani, Lim Poh Hong, Luk Teck Eng, 1507.930, 1496.778, 0.4361
101, Angelica Ljungquist, Karin Lundqvist, Chelsea Grimson, Katherine Zakrzewski, 1526.218, 1495.091, 0.4694
102, Tatiana Barrera, Virginie Kadjo, Isabelle Forrer, Sarah Schmocker, 1536.799, 1453.376, 0.5567
103, Eiko Koizumi, Shinako Tanaka, Inna Shmat, Natalia Stepanova, 1522.956, 1452.353, 0.5355
104, Marie-Andree Lessard, Sarah Maxwell, Bernadette Kiss, Regina Kiss, 1503.566, 1496.434, 0.4294
105, Clara Lozano, Nadia Campisi, Miwa Asao, Takemi Nishibori, 1520.088, 1497.732, 0.4547
106, Ilka Semmler, Katrin Holtwick, Agatha Bednarczuk, Shaylyn Bede, 1582.021, 1509.098, 0.5393
107, Marrit Leenstra, Sanne Keizer, Becchara Palmer, Eileen Romanowski, 1485.247, 1494.987, 0.4018
108, Diane Pascua, Heidi Ilustre, Linjun Ji, Ying Zhang, 1549.068, 1495.883, 0.5064
109, Heike Jensen, Summer Lochowicz, Kamoltip Kulna, Yupa Phokongploy, 1524.808, 1476.836, 0.4976
110, Janne Kongshavn, Kristine Wiig, Hiromi Suzuki, Satoko Urata, 1522.956, 1452.353, 0.5355
111, Daniela Gioria, Lucilla Perrotta, Bibiana Candelas, Mayra Garcia, 1501.475, 1490.696, 0.4354
112, Chiaki Kusuhara, Mika Teru Saiki, Caroline Fiset, Isabelle Rancourt, 1563.295, 1499.452, 0.5242
113, Denise Johns, Lucy Boulton, Mered de Vries, Patricia Labee, 1501.771, 1473.538, 0.4645
114, Annie Martin, Dana Cooke, Jarunee Sannok, Usa Tenpaksee, 1523.037, 1475.064, 0.4976
115, Lu Wang, Man Zuo, Beh Shun Thing, Luk Teck Hua, 1549.479, 1500.007, 0.5001
116, Efthalia Koutroumanidou, Maria Tsiartsiani, Angelica Ljungquist, Karin Lundqvist, 1533.930, 1500.218, 0.4737
117, Tatiana Barrera, Virginie Kadjo, Eiko Koizumi, Shinako Tanaka, 1560.513, 1499.243, 0.5199
118, Marie-Andree Lessard, Sarah Maxwell, Clara Lozano, Nadia Campisi, 1529.439, 1494.215, 0.4762
119, Ilka Semmler, Katrin Holtwick, Marrit Leenstra, Sanne Keizer, 1600.198, 1467.070, 0.6358
120, Diane Pascua, Heidi Ilustre, Heike Jensen, Summer Lochowicz, 1572.054, 1501.822, 0.5349
121, Daniela Gioria, Lucilla Perrotta, Janne Kongshavn, Kristine Wiig, 1527.705, 1496.726, 0.4691
122, Chiaki Kusuhara, Mika Teru Saiki, Denise Johns, Lucy Boulton, 1583.749, 1481.317, 0.5876
123, Annie Martin, Dana Cooke, Lu Wang, Man Zuo, 1549.626, 1522.890, 0.4620
124, Juliana Felisberta, Larissa Franca, Diane Pascua, Heidi Ilustre, 1529.918, 1542.137, 0.3978
125, Doris Schwaiger, Stefanie Schwaiger, Natalie Cook, Tamsin Hinchley, 1554.653, 1522.875, 0.4705
126, Marie-Andree Lessard, Sarah Maxwell, Angelina Scanlon, Shuqin Wu, 1552.066, 1477.373, 0.5423
127, Hella Jurich, Rieke Brink-Abeler, Tatiana Barrera, Virginie Kadjo, 1532.873, 1531.741, 0.4195
